income_bin,Ethnic,rural,distance,FIND_DIV_1000,dp
"(19.85,20.84]",White,Rural,25.12594716,20,dp1
"(19.85,20.84]",White,Urban,6.041249064,20,dp1
"(20.84,21.83]",Asian,Rural,22.25027695,21,dp1
"(20.84,21.83]",Asian,Urban,2.511640251,21,dp1
"(20.84,21.83]",Black or African American,Rural,30.97194002,21,dp1
"(20.84,21.83]",Black or African American,Urban,4.469249589,21,dp1
"(20.84,21.83]",Hispanic,Rural,23.14004248,21,dp1
"(20.84,21.83]",Hispanic,Urban,3.765048268,21,dp1
"(20.84,21.83]",White,Rural,26.46956481,21,dp1
"(20.84,21.83]",White,Urban,6.028644218,21,dp1
"(21.83,22.82]",Asian,Rural,22.40287908,22,dp1
"(21.83,22.82]",Asian,Urban,2.499218839,22,dp1
"(21.83,22.82]",Black or African American,Rural,28.86159533,22,dp1
"(21.83,22.82]",Black or African American,Urban,4.420913328,22,dp1
"(21.83,22.82]",Hispanic,Rural,19.63315026,22,dp1
"(21.83,22.82]",Hispanic,Urban,3.872821262,22,dp1
"(21.83,22.82]",White,Rural,24.83696936,22,dp1
"(21.83,22.82]",White,Urban,6.116685439,22,dp1
"(22.82,23.81]",Asian,Rural,19.70142401,23,dp1
"(22.82,23.81]",Asian,Urban,2.463362261,23,dp1
"(22.82,23.81]",Black or African American,Rural,29.87910405,23,dp1
"(22.82,23.81]",Black or African American,Urban,4.449839828,23,dp1
"(22.82,23.81]",Hispanic,Rural,21.85482427,23,dp1
"(22.82,23.81]",Hispanic,Urban,3.91486684,23,dp1
"(22.82,23.81]",White,Rural,25.27226185,23,dp1
"(22.82,23.81]",White,Urban,6.189165994,23,dp1
"(23.81,24.8]",Asian,Rural,17.51155865,24,dp1
"(23.81,24.8]",Asian,Urban,2.52058185,24,dp1
"(23.81,24.8]",Black or African American,Rural,27.99493793,24,dp1
"(23.81,24.8]",Black or African American,Urban,4.522792611,24,dp1
"(23.81,24.8]",Hispanic,Rural,17.74464377,24,dp1
"(23.81,24.8]",Hispanic,Urban,3.859878227,24,dp1
"(23.81,24.8]",White,Rural,24.90078364,24,dp1
"(23.81,24.8]",White,Urban,6.281553147,24,dp1
"(24.8,25.79]",Asian,Rural,16.61039139,25,dp1
"(24.8,25.79]",Asian,Urban,2.593164485,25,dp1
"(24.8,25.79]",Black or African American,Rural,28.19847497,25,dp1
"(24.8,25.79]",Black or African American,Urban,4.305670153,25,dp1
"(24.8,25.79]",Hispanic,Rural,21.06665963,25,dp1
"(24.8,25.79]",Hispanic,Urban,3.853111516,25,dp1
"(24.8,25.79]",White,Rural,24.40874181,25,dp1
"(24.8,25.79]",White,Urban,6.11467604,25,dp1
"(25.79,26.78]",Asian,Rural,26.82283511,26,dp1
"(25.79,26.78]",Asian,Urban,2.602143384,26,dp1
"(25.79,26.78]",Black or African American,Rural,28.62973154,26,dp1
"(25.79,26.78]",Black or African American,Urban,4.412762141,26,dp1
"(25.79,26.78]",Hispanic,Rural,20.79056002,26,dp1
"(25.79,26.78]",Hispanic,Urban,3.953853696,26,dp1
"(25.79,26.78]",White,Rural,25.00213175,26,dp1
"(25.79,26.78]",White,Urban,6.204238065,26,dp1
"(26.78,27.77]",Asian,Rural,15.50365781,27,dp1
"(26.78,27.77]",Asian,Urban,2.680324555,27,dp1
"(26.78,27.77]",Black or African American,Rural,28.72432301,27,dp1
"(26.78,27.77]",Black or African American,Urban,4.495637214,27,dp1
"(26.78,27.77]",Hispanic,Rural,18.66115248,27,dp1
"(26.78,27.77]",Hispanic,Urban,3.913890074,27,dp1
"(26.78,27.77]",White,Rural,24.10989494,27,dp1
"(26.78,27.77]",White,Urban,6.405676694,27,dp1
"(27.77,28.76]",Asian,Rural,16.77869585,28,dp1
"(27.77,28.76]",Asian,Urban,2.625816285,28,dp1
"(27.77,28.76]",Black or African American,Rural,27.00472423,28,dp1
"(27.77,28.76]",Black or African American,Urban,4.50655776,28,dp1
"(27.77,28.76]",Hispanic,Rural,18.5926371,28,dp1
"(27.77,28.76]",Hispanic,Urban,3.917015775,28,dp1
"(27.77,28.76]",White,Rural,23.91133123,28,dp1
"(27.77,28.76]",White,Urban,6.324047907,28,dp1
"(28.76,29.75]",Asian,Rural,19.03132411,29,dp1
"(28.76,29.75]",Asian,Urban,2.506437796,29,dp1
"(28.76,29.75]",Black or African American,Rural,28.4681995,29,dp1
"(28.76,29.75]",Black or African American,Urban,4.497216928,29,dp1
"(28.76,29.75]",Hispanic,Rural,20.25746205,29,dp1
"(28.76,29.75]",Hispanic,Urban,3.847281679,29,dp1
"(28.76,29.75]",White,Rural,24.77545401,29,dp1
"(28.76,29.75]",White,Urban,6.201484585,29,dp1
"(29.75,30.74]",Asian,Rural,15.44533097,30,dp1
"(29.75,30.74]",Asian,Urban,2.360564063,30,dp1
"(29.75,30.74]",Black or African American,Rural,25.28192618,30,dp1
